LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
3C41X9EKMU,27,149848,230241,554,74,3,14.54,36,0.23,High School,Self-employed,Married,Yes,No,Home,Yes,1
D2G1J41M4U,40,136905,154574,306,4,4,6.46,12,0.69,Master's,Self-employed,Divorced,No,Yes,Education,Yes,1
JKWHRPHYI7,34,131126,53194,424,91,2,12.73,60,0.18,Master's,Full-time,Married,No,Yes,Other,No,1
TJXAHIGDQN,61,80935,230821,392,39,1,12.65,60,0.33,High School,Self-employed,Single,No,No,Home,No,1
E4I4RJUR79,22,127469,15874,847,60,4,23.43,24,0.56,Master's,Unemployed,Single,No,Yes,Business,Yes,1
AO1SM3T614,24,81479,147981,718,63,3,3.72,48,0.49,PhD,Full-time,Single,No,No,Education,No,1
10UCGD4SC8,34,132060,182961,549,32,4,19.71,48,0.58,Master's,Unemployed,Married,Yes,No,Home,No,1
L00HYUD1IW,41,116181,24103,356,24,2,19.89,48,0.56,Bachelor's,Full-time,Divorced,No,No,Home,Yes,1
KOU0OU3PDC,28,66313,180153,369,35,4,11.45,60,0.74,Bachelor's,Part-time,Divorced,No,Yes,Auto,Yes,1
BKKC241LEP,20,127063,153729,304,15,1,22.43,24,0.32,PhD,Unemployed,Divorced,Yes,No,Business,Yes,1
IZT4C1O2AG,19,120656,202821,797,36,4,23.58,12,0.65,PhD,Part-time,Single,No,Yes,Education,No,1
MI4DUFSSTQ,27,146711,158107,545,71,3,17.19,24,0.36,Master's,Unemployed,Single,No,Yes,Auto,No,1
QVCZ8G7OV4,28,43062,186566,516,81,4,10.37,24,0.59,PhD,Unemployed,Single,Yes,No,Other,Yes,1
XXR9M22JHG,54,26704,170941,323,9,1,7.34,36,0.54,High School,Self-employed,Married,Yes,No,Home,No,1
3IC06HAQL4,22,15346,244352,740,101,1,14.85,36,0.25,High School,Unemployed,Divorced,Yes,No,Other,No,1
BZO08QULCH,19,28832,165189,385,105,4,24.96,12,0.13,PhD,Full-time,Single,No,Yes,Home,No,1
LYWUIPDHKU,30,59048,235707,507,40,4,23.24,48,0.73,High School,Unemployed,Divorced,No,Yes,Home,Yes,1
ZZVIAKEW5F,25,98967,103812,406,66,3,23.99,60,0.61,High School,Unemployed,Divorced,Yes,No,Home,No,1
U5NHMUF2HS,26,32420,107779,382,65,3,12.25,12,0.51,Master's,Part-time,Single,Yes,No,Home,Yes,1
BQCFA33348,31,86479,228895,513,54,4,15.03,12,0.4,High School,Full-time,Single,No,No,Other,Yes,1
MLKUC7P2F7,20,83173,188193,443,52,4,21.93,12,0.27,Bachelor's,Self-employed,Married,Yes,No,Other,Yes,1
PAMSP4ARUB,36,109635,247510,507,51,2,19.2,12,0.48,Master's,Unemployed,Single,Yes,No,Home,No,1
2AEJ675FF9,44,100926,106607,770,110,1,14.56,24,0.42,Bachelor's,Full-time,Divorced,Yes,No,Auto,Yes,1
A7UWCVPTVL,34,34407,33247,375,14,2,21.65,60,0.49,High School,Unemployed,Divorced,Yes,No,Education,No,1
WTKKVND2CT,36,101146,193823,518,46,4,23.1,36,0.49,High School,Full-time,Divorced,Yes,No,Business,No,1
BA8400UY1R,34,52567,184310,605,34,4,23.08,36,0.59,PhD,Unemployed,Single,No,Yes,Business,Yes,1
MEDNWM86AL,37,133998,238142,657,23,3,7.01,24,0.56,Master's,Self-employed,Married,No,No,Business,Yes,1
T6DRSDA2JR,61,18864,226616,702,31,2,16.7,24,0.59,PhD,Full-time,Single,Yes,No,Home,No,1
ITR3H7WQM1,39,62897,156075,682,95,2,19.96,60,0.56,PhD,Unemployed,Married,Yes,No,Education,Yes,1
8TYI94F341,50,39987,65035,747,70,2,13.42,24,0.73,PhD,Full-time,Single,No,No,Other,Yes,1
0CKOY9TXAV,24,142349,73041,435,71,3,21.23,48,0.85,Bachelor's,Part-time,Single,No,Yes,Education,Yes,1
JMFTZE712U,57,26090,199932,742,22,2,14.45,36,0.48,PhD,Full-time,Single,No,Yes,Home,Yes,1
P699TUH40P,58,119245,204005,442,2,2,21.12,60,0.6,High School,Self-employed,Divorced,Yes,No,Home,Yes,1
N4D4SHO0Z5,36,65713,242962,747,53,4,21.45,36,0.59,Bachelor's,Part-time,Divorced,Yes,No,Home,Yes,1
JP4SGROQO3,19,119751,6948,346,92,4,13.1,12,0.17,Bachelor's,Part-time,Married,No,No,Auto,No,1
G1ZF0DHBSO,41,115444,70564,422,7,2,21.64,60,0.47,Bachelor's,Unemployed,Divorced,No,No,Other,Yes,1
DL61IG7JF3,28,83732,243818,411,58,3,16.51,60,0.64,High School,Self-employed,Married,Yes,No,Business,Yes,1
ZCYC1DEN8X,28,103132,172877,356,76,4,12.63,36,0.66,High School,Unemployed,Divorced,No,Yes,Auto,Yes,1
78BID08R7R,51,35214,105473,796,22,2,19.83,36,0.45,High School,Part-time,Married,Yes,Yes,Business,Yes,1
5B8TTT55HN,58,59551,197897,521,59,3,23.34,48,0.12,High School,Part-time,Married,Yes,No,Other,No,1
MJEUYLU0C7,21,114920,88085,348,89,4,22.65,36,0.48,High School,Part-time,Single,Yes,Yes,Home,No,1
JK4HW9PR0A,18,20823,239527,707,53,3,15.34,36,0.37,Master's,Part-time,Married,Yes,No,Education,No,1
DTIA9RI80W,33,23668,200300,605,18,2,15.42,36,0.29,High School,Self-employed,Married,Yes,No,Home,No,1
A8BT30AW7W,22,52590,124649,341,45,1,5.27,60,0.8,Bachelor's,Part-time,Single,Yes,No,Business,No,1
XDAPRS2AUT,23,18952,142863,481,52,1,17.67,60,0.39,Bachelor's,Part-time,Divorced,Yes,No,Education,No,1
HMUIYL9E57,53,42773,108811,743,74,3,5.84,60,0.79,Bachelor's,Part-time,Divorced,No,Yes,Business,No,1
AVYM9XDV0W,33,35883,135280,538,48,2,11.76,12,0.31,PhD,Part-time,Single,Yes,No,Other,Yes,1
6EW8LZ04UZ,29,122810,216498,372,2,3,24.8,12,0.73,Master's,Part-time,Married,No,No,Other,Yes,1
8VOQ1U1XJM,67,55085,184792,492,8,2,20.94,36,0.71,PhD,Part-time,Divorced,No,Yes,Auto,Yes,1
TVJTVPLWN0,23,16361,77600,735,42,3,15.63,24,0.88,High School,Part-time,Divorced,Yes,No,Auto,No,1
0ZAM7H01J7,61,51939,157595,367,34,3,15.62,60,0.65,Master's,Full-time,Married,Yes,Yes,Education,Yes,1
GSDNEMC4FL,45,18795,212954,468,13,3,10.04,60,0.59,Bachelor's,Unemployed,Single,Yes,Yes,Other,Yes,1
WOHAPSUU0T,42,16189,124953,327,59,2,14.62,48,0.68,Bachelor's,Part-time,Divorced,No,Yes,Auto,No,1
ZMQPCQD669,20,61375,10674,463,24,1,7.82,36,0.34,Master's,Part-time,Single,No,No,Auto,No,1
UEAXJNPKRI,18,99224,130062,398,103,4,10.65,60,0.84,PhD,Unemployed,Single,No,No,Auto,Yes,1
EI9HS39XZV,44,44375,195941,335,99,1,24.04,60,0.74,PhD,Self-employed,Married,No,No,Auto,Yes,1
VA07Q56A16,22,77304,10280,334,83,1,23.65,12,0.22,High School,Full-time,Divorced,Yes,Yes,Home,No,1
XAMN6DGO6I,50,40682,102293,811,24,1,8.79,36,0.42,Master's,Self-employed,Married,No,Yes,Other,Yes,1
Q5074JU4ML,56,98253,151161,405,112,2,12.43,36,0.86,Bachelor's,Full-time,Divorced,No,Yes,Home,No,1
SYHDPGTSWK,48,62335,167395,428,14,3,23.57,24,0.52,High School,Full-time,Divorced,Yes,No,Education,Yes,1
2UOIW5MRJN,21,126857,230706,739,50,1,24.41,12,0.62,Master's,Full-time,Single,Yes,Yes,Auto,No,1
7A4F1L91QM,18,138455,130971,387,92,2,21.6,36,0.53,Master's,Part-time,Married,No,No,Auto,Yes,1
ER7EZ2A0IW,39,80732,177756,817,15,4,17.34,48,0.73,Bachelor's,Unemployed,Divorced,No,No,Auto,No,1
HMUMO1923G,54,117065,198416,394,87,1,21.02,12,0.71,Bachelor's,Full-time,Single,No,No,Business,No,1
O8N6DE2WCD,22,63057,61167,629,112,2,23.48,60,0.77,Master's,Unemployed,Single,No,No,Education,Yes,1
4J1MEKM2KU,36,142844,168666,846,8,4,14.11,36,0.86,Bachelor's,Full-time,Married,No,No,Other,Yes,1
TPBACI70TL,64,67407,50747,353,61,3,14.6,12,0.48,PhD,Full-time,Single,Yes,Yes,Business,Yes,1
ISMN6IXLNW,32,33628,249345,425,31,2,23.42,12,0.54,Bachelor's,Part-time,Married,No,Yes,Business,No,1
PFV8ZG9ZW0,45,77849,249166,560,86,3,5.1,12,0.11,Master's,Unemployed,Married,No,No,Business,No,1
PWGTFDC1XJ,30,44299,175390,352,35,2,18.5,12,0.76,Master's,Part-time,Single,No,Yes,Auto,Yes,1
4PF3UJUY3W,20,49883,201554,371,38,1,9.94,48,0.77,Master's,Self-employed,Married,No,Yes,Education,No,1
REYWEA9RGZ,49,87333,87594,669,58,4,19.74,48,0.74,PhD,Full-time,Married,No,Yes,Education,No,1
PBFF8EO34P,38,87881,136307,546,60,4,15.24,24,0.17,Bachelor's,Full-time,Married,Yes,No,Home,No,1
WNCI9I6268,68,139382,220956,436,18,3,7.54,60,0.29,PhD,Full-time,Divorced,Yes,Yes,Other,No,1
OYZVJSU5JP,40,109428,44802,419,12,1,20.62,36,0.3,Master's,Self-employed,Married,Yes,Yes,Education,Yes,1
P03IWV51TT,28,44017,71303,676,64,2,9.19,36,0.53,Bachelor's,Unemployed,Married,No,No,Other,Yes,1
965OW7QJ1H,41,115071,156924,760,79,2,4.19,24,0.25,Bachelor's,Part-time,Divorced,Yes,No,Other,No,1
8115ADAWZX,58,91245,93471,564,33,2,10.55,24,0.43,High School,Unemployed,Married,No,Yes,Home,No,1
BUCJHEOLEN,42,46556,229864,579,41,3,11.44,36,0.75,Master's,Self-employed,Divorced,Yes,Yes,Auto,Yes,1
BTQTK90QWE,19,51196,13884,832,62,4,23.89,36,0.51,High School,Full-time,Divorced,No,Yes,Other,Yes,1
0OX17CKMWM,19,37182,187450,652,21,4,24.97,48,0.44,PhD,Full-time,Divorced,Yes,Yes,Business,Yes,1
QDK75GCFDZ,45,102861,170014,462,5,1,8.79,24,0.48,Master's,Unemployed,Divorced,Yes,Yes,Auto,Yes,1
7US5FLU7BC,65,144535,200056,329,15,4,15.88,12,0.5,Bachelor's,Unemployed,Single,Yes,Yes,Other,No,1
BEOGCLOK4C,40,78272,183902,335,105,4,8.32,36,0.71,Master's,Self-employed,Single,No,No,Home,No,1
3424L7K3Q8,35,143984,160557,476,112,2,12.6,60,0.75,Bachelor's,Self-employed,Divorced,No,Yes,Business,No,1
AWWBTTV5JK,18,88561,105986,717,99,2,11.42,24,0.66,Bachelor's,Full-time,Married,Yes,Yes,Business,No,1
4WOQ1VTH5X,40,60746,225902,836,89,1,9.64,48,0.29,High School,Unemployed,Single,No,No,Business,Yes,1
P5CZ7HSXWA,24,54886,188618,631,7,4,4.5,60,0.6,Master's,Self-employed,Single,No,Yes,Other,Yes,1
4BTNHSERN6,46,117210,50976,500,6,4,22.44,48,0.33,Bachelor's,Full-time,Married,No,Yes,Other,Yes,1
QFKBRYYCMT,21,137217,9871,686,55,4,20.98,24,0.2,Bachelor's,Part-time,Divorced,Yes,No,Home,No,1
JW9IKNF1EL,24,49595,156879,712,47,1,16.74,60,0.71,Bachelor's,Unemployed,Married,No,No,Other,No,1
ODFE1QGZFR,25,144110,83965,589,0,4,9.41,24,0.65,Bachelor's,Self-employed,Divorced,Yes,No,Home,No,1
QFYJN877CU,34,40698,242603,811,53,1,20.79,60,0.79,PhD,Self-employed,Single,Yes,Yes,Education,No,1
61HAJYYRXQ,68,40090,42880,686,53,2,24.36,36,0.36,High School,Part-time,Single,Yes,Yes,Education,No,1
DFCCHYB2MT,52,91512,139473,666,3,2,13.69,24,0.29,Bachelor's,Unemployed,Single,No,Yes,Business,Yes,1
GMHL6K4COS,35,114913,54789,376,59,4,15.45,48,0.18,Master's,Unemployed,Single,No,Yes,Home,No,1
109LHORW25,65,52678,143965,327,15,4,14.26,36,0.35,High School,Self-employed,Divorced,No,No,Other,No,1
VLI2U4HY02,23,101881,207947,377,46,1,24.21,24,0.86,PhD,Unemployed,Divorced,No,Yes,Auto,Yes,1
4N02NHZT4N,37,27711,123922,373,57,4,22.26,12,0.52,Bachelor's,Self-employed,Divorced,No,Yes,Education,Yes,1
MDRW8HGJ3Z,49,86979,26192,571,11,1,24.52,60,0.83,PhD,Part-time,Divorced,No,No,Other,Yes,1
PXFA0IL5KT,27,22789,172925,667,7,4,11.02,60,0.5,PhD,Unemployed,Single,No,Yes,Home,No,1
NWYO2S9J3X,30,102012,239041,752,30,3,15.41,36,0.65,High School,Self-employed,Single,No,Yes,Home,No,1
87G39LF7FI,61,26648,196508,846,50,4,23.57,12,0.87,Bachelor's,Full-time,Single,Yes,Yes,Business,No,1
3FK1KHU5K4,51,51555,148400,447,41,1,17.62,24,0.69,PhD,Self-employed,Divorced,No,Yes,Business,Yes,1
R9Z4EKII00,19,148934,180474,539,43,2,19.46,12,0.45,Bachelor's,Self-employed,Divorced,No,Yes,Home,No,1
FLTK6SOOXR,38,17456,190175,427,110,2,23.25,24,0.13,Master's,Full-time,Single,No,Yes,Other,Yes,1
W9GYLD4EQU,27,85757,19247,770,44,3,17.28,24,0.52,High School,Part-time,Single,Yes,Yes,Business,Yes,1
GNVWAJID4R,26,103617,98922,530,55,2,21.01,12,0.78,Bachelor's,Unemployed,Married,Yes,Yes,Education,No,1
SBS7DSCGWA,24,61616,135399,609,50,4,8.73,48,0.6,PhD,Self-employed,Single,Yes,No,Business,Yes,1
OPP22L5M18,41,25152,74219,654,29,4,8.38,60,0.55,High School,Full-time,Married,No,No,Business,Yes,1
KPZCEI7LW3,37,17405,245914,462,75,2,10.31,24,0.56,PhD,Part-time,Single,Yes,Yes,Auto,Yes,1
XYVOZKKZN5,40,67288,197245,506,25,2,15.14,24,0.23,Bachelor's,Unemployed,Single,Yes,Yes,Auto,No,1
M5151XXKYS,49,131971,97379,784,33,3,14.53,48,0.86,High School,Unemployed,Married,Yes,No,Education,No,1
J052MTXKFT,51,104580,52090,363,31,1,16.18,60,0.86,High School,Unemployed,Single,Yes,No,Auto,No,1
FN8C15FRJF,68,55753,222114,813,47,2,8.86,24,0.56,High School,Unemployed,Married,Yes,No,Business,No,1
M6CZYWGMTP,35,78558,153622,308,0,1,6.5,60,0.46,Bachelor's,Part-time,Single,Yes,No,Education,No,1
VAJY63HNV9,20,111657,131912,628,84,4,16.85,48,0.67,Bachelor's,Full-time,Married,No,No,Education,Yes,1
8YA9L10U77,25,18999,17606,721,33,3,22.74,48,0.78,High School,Unemployed,Divorced,Yes,Yes,Other,No,1
1N07L2ZVJ7,31,42850,249338,432,35,3,5.99,12,0.85,High School,Self-employed,Divorced,Yes,Yes,Business,Yes,1
F21L49HDJ6,22,31826,131597,316,51,4,3.31,36,0.62,Bachelor's,Self-employed,Divorced,Yes,Yes,Auto,Yes,1
M3SNV9COL5,24,76031,239054,576,116,2,11.75,48,0.41,Master's,Part-time,Divorced,Yes,Yes,Auto,No,1
VEYEN4OOOH,48,102205,188491,361,23,2,16.67,12,0.31,PhD,Part-time,Divorced,No,No,Education,Yes,1
VMPHIZF84K,25,77892,101265,482,40,1,23.08,24,0.46,Master's,Unemployed,Divorced,Yes,Yes,Home,Yes,1
TY17KFQ2PQ,25,122494,242607,757,87,3,19.76,36,0.76,Master's,Self-employed,Single,No,Yes,Other,No,1
47K54IOSE3,39,87632,125749,640,8,3,22.71,60,0.36,Bachelor's,Full-time,Single,Yes,Yes,Other,No,1
FZUFNN9AR3,38,112378,52405,427,64,3,14.55,48,0.13,Master's,Self-employed,Single,No,Yes,Auto,No,1
FQIIVCF12U,36,59107,132668,393,73,3,21.84,60,0.73,PhD,Part-time,Divorced,No,Yes,Education,No,1
3L3GJG0OFU,35,130963,54694,505,9,3,18.62,60,0.81,Bachelor's,Full-time,Married,No,Yes,Education,No,1
910DKE1QSI,60,122710,60757,844,27,1,10.19,60,0.33,PhD,Unemployed,Married,No,No,Other,Yes,1
TU28ENB87F,36,89725,135320,651,11,1,11.33,48,0.47,Bachelor's,Unemployed,Married,Yes,Yes,Home,Yes,1
7UFYB64F3G,37,83276,80363,766,25,4,18.5,60,0.67,Master's,Full-time,Married,Yes,No,Other,Yes,1
IXDBLFJA1W,34,35991,60626,446,54,3,6.71,12,0.29,PhD,Full-time,Single,Yes,Yes,Business,Yes,1
3Z5H5BKWKE,65,89445,46867,499,77,1,16.28,12,0.84,Bachelor's,Unemployed,Divorced,Yes,No,Other,No,1
DANOB8QAXG,22,71682,168788,596,19,3,15.39,60,0.61,Bachelor's,Self-employed,Married,No,Yes,Home,No,1
1ZOPRXPQO3,25,24330,224368,511,5,2,6.0,12,0.65,PhD,Full-time,Divorced,No,No,Business,No,1
7CKMBPCRJV,62,31019,202859,426,19,2,22.25,12,0.69,High School,Self-employed,Divorced,No,No,Auto,No,1
LA3WZB84CN,26,28975,105422,311,24,3,15.73,60,0.88,Bachelor's,Part-time,Married,Yes,No,Home,No,1
8R6AXIMJG8,50,54249,98299,432,14,3,16.66,12,0.18,PhD,Self-employed,Married,Yes,Yes,Education,Yes,1
EAJ41PSHXZ,65,98964,221966,394,46,4,8.39,24,0.28,High School,Unemployed,Married,No,No,Education,No,1
S6VMOWGQUX,21,16310,186844,445,11,2,14.53,60,0.77,PhD,Full-time,Single,No,No,Other,Yes,1
UV1CIERJ3T,51,15929,226940,616,27,3,12.84,24,0.45,High School,Unemployed,Married,Yes,No,Home,No,1
TLF9YD83MO,60,72515,59707,765,92,4,19.91,12,0.27,High School,Part-time,Married,No,No,Education,No,1
M061V9JHQX,26,96524,99316,654,33,4,9.99,12,0.79,Bachelor's,Part-time,Single,Yes,Yes,Auto,Yes,1
WV8RVSD4JA,23,82131,158650,759,13,3,22.53,36,0.52,Master's,Unemployed,Divorced,Yes,No,Business,No,1
30S60YYGBR,24,82628,87316,434,53,3,24.21,36,0.8,High School,Unemployed,Single,Yes,No,Business,Yes,1
T1SI5J07QV,20,102480,195436,446,69,3,22.72,48,0.21,High School,Self-employed,Divorced,No,No,Education,No,1
Y0HSNP5LNV,31,87613,212636,748,117,4,9.66,36,0.19,Master's,Unemployed,Married,Yes,No,Education,No,1
87J0OAX51H,38,131933,98093,535,32,2,9.99,60,0.75,High School,Part-time,Divorced,No,Yes,Other,No,1
G99DI61PZZ,62,21943,141997,470,61,2,19.19,60,0.45,Bachelor's,Part-time,Divorced,No,No,Other,No,1
MONPDPIONL,43,46946,59235,682,69,3,15.93,24,0.38,PhD,Unemployed,Single,No,No,Home,No,1
10S6K7SI5N,42,62208,224253,613,119,1,9.57,60,0.84,Bachelor's,Self-employed,Married,No,Yes,Auto,No,1
3PGHA8I59X,23,17148,233286,501,24,2,12.39,12,0.3,PhD,Unemployed,Married,Yes,Yes,Business,Yes,1
DEPXO2A3CT,25,50140,223592,824,97,4,20.31,36,0.18,Bachelor's,Unemployed,Married,Yes,No,Home,Yes,1
ILEMM7BLLP,69,22873,205192,496,78,4,14.85,12,0.47,PhD,Unemployed,Married,No,No,Other,Yes,1
77M6WYDODT,27,38495,113251,401,118,2,18.0,12,0.46,High School,Unemployed,Married,Yes,Yes,Home,No,1
RJ2XK4Q8CV,20,54379,56190,554,94,1,16.16,48,0.31,PhD,Part-time,Divorced,No,No,Education,No,1
0ZEKI2INZW,32,140082,197241,648,73,4,5.19,60,0.51,Master's,Self-employed,Divorced,No,Yes,Other,No,1
K3AFXLCLMM,19,34485,234471,539,4,2,16.47,24,0.43,Master's,Unemployed,Married,Yes,No,Other,Yes,1
MZL4J9U2UL,19,30157,135450,722,50,4,17.24,24,0.33,PhD,Part-time,Single,Yes,No,Other,No,1
EFY3STO8N8,35,16863,141141,469,119,3,7.46,48,0.34,PhD,Unemployed,Single,Yes,Yes,Auto,No,1
O96K8GHTBO,30,134336,102273,787,88,1,8.17,24,0.42,High School,Self-employed,Divorced,Yes,No,Business,No,1
X33RAAF7CS,23,95193,62336,523,25,3,23.64,60,0.6,Master's,Part-time,Single,Yes,No,Business,Yes,1
A8VOORN93U,27,74053,160294,306,6,1,10.84,48,0.85,PhD,Self-employed,Divorced,Yes,No,Other,Yes,1
N02E898R7W,25,16262,150332,622,24,3,2.73,48,0.25,Bachelor's,Part-time,Single,Yes,Yes,Other,Yes,1
38TFP6F5QG,33,74750,26880,477,16,4,24.8,24,0.37,PhD,Full-time,Married,Yes,No,Auto,No,1
0Q6ETZOPZ1,36,105766,91299,408,42,2,4.58,48,0.23,High School,Full-time,Single,Yes,No,Auto,Yes,1
GJJKMLSAW6,39,42094,40969,691,24,2,24.33,60,0.54,High School,Unemployed,Divorced,Yes,Yes,Business,Yes,1
FMGMO1HWEL,26,81378,160765,482,48,2,13.71,36,0.11,PhD,Unemployed,Single,Yes,Yes,Business,Yes,1
DCF9UAHUIW,18,83059,34164,603,99,1,21.14,12,0.68,High School,Part-time,Divorced,Yes,Yes,Other,Yes,1
T69XHW1N8F,35,45539,127301,348,5,2,22.47,36,0.64,High School,Part-time,Divorced,Yes,No,Education,No,1
UWEJ2FSNWK,27,55450,10221,780,30,2,14.24,12,0.68,High School,Unemployed,Single,No,No,Education,No,1
54G6YX4AN8,35,71692,218473,683,89,4,9.21,48,0.54,PhD,Self-employed,Single,Yes,Yes,Auto,Yes,1
LHFOUAC1F7,65,27110,85148,663,44,3,22.68,24,0.61,High School,Unemployed,Divorced,No,Yes,Education,No,1
P6EV3W6238,19,53162,201376,726,9,2,24.23,12,0.23,High School,Self-employed,Divorced,No,No,Other,No,1
93PE5U1JFC,60,43770,85057,332,26,1,16.35,48,0.65,Bachelor's,Self-employed,Single,No,Yes,Business,No,1
NRVL4PL8H9,24,59815,135451,530,73,4,3.34,36,0.41,High School,Self-employed,Married,Yes,Yes,Other,No,1
AE9CUSUNNG,41,130656,197153,452,100,1,24.82,24,0.81,PhD,Self-employed,Divorced,No,No,Home,No,1
R6EZO5NRK7,35,16623,194277,645,62,4,3.34,60,0.65,Bachelor's,Full-time,Divorced,Yes,Yes,Education,Yes,1
KJU36379XP,32,38143,40458,629,46,3,13.08,48,0.27,PhD,Full-time,Divorced,No,No,Auto,Yes,1
JP4SGROQO3,19,119751,6948,346,92,4,13.1,12,0.17,Bachelor's,Part-time,Married,No,No,Auto,No,1
C4VNOD1A80,23,138915,225004,380,71,1,15.93,24,0.65,Master's,Unemployed,Divorced,No,Yes,Auto,Yes,1
DRG0DY8SW4,28,17209,43846,512,37,4,6.02,24,0.38,Bachelor's,Part-time,Divorced,No,No,Education,Yes,1
838APPYT72,38,40054,225086,385,1,4,8.45,36,0.14,Bachelor's,Part-time,Married,Yes,Yes,Auto,Yes,1
OCRDGK8WHD,35,20983,40912,442,82,3,23.78,60,0.24,High School,Part-time,Single,No,No,Business,No,1
8X7D3G4XLP,21,56333,232725,537,25,3,13.98,12,0.77,PhD,Self-employed,Divorced,Yes,Yes,Other,Yes,1
5CWPQKBS8M,30,70409,83693,396,1,3,21.76,48,0.55,High School,Full-time,Married,Yes,Yes,Business,No,1
O72A1VJBX0,38,24737,122057,573,62,4,11.83,36,0.61,PhD,Unemployed,Married,Yes,No,Business,Yes,1
GVY9VGODQ5,28,35397,157439,804,78,3,18.8,12,0.87,PhD,Full-time,Divorced,No,Yes,Business,Yes,1
